field_unit,s4_type
%,Float
A,Float
Amps,Float
Asset Reference,String
Bar(g),Float
Date,Date
Deg C,Int
Hertz,Int
L/s,Float
Number,Float
Picklist,String
SAP S4 Hana Ref,String
Text,String
URL,String
Unknown,String
Volts,Int
W,Float
Years,Int
kA,Int
kW,Float
kg,Float
l/s,Float
m,String
m2,Float
m3,Float
mA,Int
mAOD,Float
mm,Float
rpm,Int
s,Int
yr,Int
£,Float
°c, String
