s4_equi_class,s4_equi_char,pdt_field_name
STARRE,STAR_RATED_VOLTAGE,Rated Voltage
STARRE,STAR_RATED_VOLTAGE_UNITS,Rated Voltage Units
STARRE,STAR_SLD_REF_NO,Single Line Drawing Ref Number
STARRV,IP_RATING,IP Rating
STARRV,STAR_NUMBER_OF_PHASE,Number of Phase
STARRV,STAR_RATED_CURRENT_A,Rated Current (A)
STARRV,STAR_RATED_POWER_KW,Rated Power (kW)
STARRV,STAR_RATED_VOLTAGE,Rated Voltage
STARRV,STAR_RATED_VOLTAGE_UNITS,Rated Voltage Units
STARRV,STAR_SLD_REF_NO,Single Line Drawing Ref Number
STARSS,STAR_INPUT_CURRENT_A,Input Current (A)
STARSS,STAR_INPUT_VOLTAGE,Input Voltage
STARSS,STAR_INPUT_VOLTAGE_UNITS,Input Voltage Units
STARSS,IP_RATING,IP Rating
STARSS,STAR_NUMBER_OF_PHASE,Number of Phase
STARSS,STAR_RATED_POWER_KW,Rated Power (kW)
STARSS,STAR_SLD_REF_NO,Single Line Drawing Ref Number
STARVF,STAR_INPUT_CURRENT_A,Input Current (A)
STARVF,STAR_INPUT_VOLTAGE,Input Voltage
STARVF,STAR_INPUT_VOLTAGE_UNITS,Input Voltage Units
STARVF,IP_RATING,IP Rating
STARVF,STAR_MOUNTING_TYPE,Mounting Type
STARVF,STAR_NUMBER_OF_PHASE,Number of Phase
STARVF,STAR_RATED_POWER_KW,Rated Power (kW)
STARVF,STAR_SLD_REF_NO,Single Line Drawing Ref Number
FSTNCF,IP_RATING,IP Rating
FSTNCF,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNCF,FSTN_PIPE_DIAMETER_MM,Pipe Diameter (mm)
FSTNCF,FSTN_RANGE_MAX,Range Max
FSTNCF,FSTN_RANGE_MIN,Range Min
FSTNCF,FSTN_RANGE_UNITS,Range Unit
FSTNCF,FSTN_SPECIFIC_ORDER_CODE,Specific Order Code
FSTNCF,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNCF,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNEM,FSTN_FIELD_VALIDATION_DEVICE,Field Validation Compatible
FSTNEM,IP_RATING,IP Rating
FSTNEM,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNEM,FSTN_PIPE_DIAMETER_MM,Pipe Diameter (mm)
FSTNEM,FSTN_RANGE_MAX,Range Max
FSTNEM,FSTN_RANGE_MIN,Range Min
FSTNEM,FSTN_RANGE_UNITS,Range Unit
FSTNEM,FSTN_SENS_CALIBRATION_FACTOR_1,Sensor Calibration Factor 1
FSTNEM,FSTN_SENS_CALIBRATION_FACTOR_2,Sensor Calibration Factor 2
FSTNEM,FSTN_SENS_CALIBRATION_FACTOR_3,Sensor Calibration Factor 3
FSTNEM,FSTN_SENS_CALIBRATION_FACTOR_4,Sensor Calibration Factor 4
FSTNEM,FSTN_TRANSDUCER_MODEL,Transducer Model
FSTNEM,FSTN_TRANSDUCER_SERIAL_NO,Transducer Serial No
FSTNEM,FSTN_TRANSMITTER_MODEL,Transmitter Model
FSTNEM,FSTN_TRANSMITTER_SERIAL_NO,Transmitter Serial No
FSTNEM,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNEM,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNLS,IP_RATING,IP Rating
FSTNLS,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNLS,FSTN_RANGE_MAX,Range Max
FSTNLS,FSTN_RANGE_MIN,Range Min
FSTNLS,FSTN_RANGE_UNITS,Range Unit
FSTNLS,FSTN_SPECIFIC_ORDER_CODE,Specific Order Code
