ai_name,s4_class_name,s4_char_name
CURRENT IN,ACTUEM,ACTU_RATED_CURRENT_A
CURRENT IN,EMTRIN,EMTR_RATED_CURRENT_A
RANGE MIN,FSTNEM,FSTN_RANGE_MIN
RANGE MAX,FSTNEM,FSTN_RANGE_MAX
RANGE UNIT,FSTNEM,FSTN_RANGE_UNITS
SIGNAL TYPE,FSTNEM,FSTN_SIGNAL_TYPE
SIGNAL TYPE,LSTNUT,LSTN_SIGNAL_TYPE
